ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2025.0,256.0,xiaomi,6.67,amoled,2.9,8.0,2.57,254.42,1080.0,2400.0,5500.0,2.0408163265306123,186.0,175.88
2023.0,256.0,motorola,6.5,lcd,2.2,8.0,0.8,174.0,1080.0,2400.0,5000.0,281.55555555555554,199.99,174.0
2018.0,128.0,apple,6.1,xdr,3.2,6.0,2.57,254.42,1080.0,2400.0,2815.0,352.85714285714283,499.99,370.0
2025.0,256.0,oscal,6.56,lcd,3.0,8.0,0.87,193.0,1080.0,2400.0,5000.0,5.9523809523809526,329.99,199.99
2025.0,256.0,doogee,6.56,lcd,2.4,16.0,6.0,343.0,1920.0,1080.0,10400.0,13.77777777777778,329.99,319.99
2025.0,128.0,oukitel,6.67,lcd,1.6,16.0,0.87,199.0,720.0,1600.0,5150.0,20.232558139534884,199.99,99.99
2021.0,64.0,xiaomi,6.58,lcd,2.2,4.0,2.57,254.42,1080.0,2400.0,5000.0,0.4444444444444444,193.95,193.95
2023.0,256.0,xiaomi,6.74,lcd,14.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,184.88372093023256,179.0,138.27
2023.0,128.0,ulefone,5.45,amoled,2.0,3.0,1.43,257.0,720.0,1440.0,4860.0,15.952380952380953,199.99,119.99
2025.0,128.0,blackview,6.56,lcd,33.2,12.0,2.57,254.42,1080.0,2400.0,5000.0,76.27906976744187,109.99,89.0
2017.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,1280.0,720.0,3000.0,65.66666666666667,149.99,55.99
2023.0,128.0,xiaomi,6.58,amoled,17.1,4.0,8.9,150.0,2048.0,1080.0,3600.0,11.052631578947368,134.89,114.0
2023.0,256.0,xiaomi,6.74,amoled,2.0,8.0,1.27,400.0,1080.0,2400.0,5000.0,337.7272727272727,124.99,119.99
2022.0,256.0,samsung,6.1,amoled,2.5,8.0,2.57,254.42,2400.0,1080.0,3700.0,42.14285714285714,499.99,449.99
2013.0,256.0,doogee,6.52,lcd,32.3,20.0,0.91,430.0,1280.0,720.0,4200.0,15.172413793103448,89.99,89.99
2025.0,64.0,hipipooo,2.5,lcd,1.3,2.0,2.57,254.42,854.0,480.0,1000.0,45.88235294117647,199.99,62.0
2023.0,64.0,zokoe,3.0,lcd,1.3,3.0,1.25,84.0,480.0,854.0,3.0,22.35294117647059,199.99,79.99
2025.0,128.0,blackview,6.56,lcd,16.4,4.0,2.57,254.42,1280.0,720.0,5000.0,25.23809523809524,329.99,129.99
2025.0,512.0,doogee,6.6,lcd,2.4,24.0,2.57,254.42,1080.0,2400.0,10800.0,5.7142857142857135,399.99,319.99
2025.0,256.0,xiaomi,6.67,amoled,2.5,8.0,0.89,210.0,1500.0,720.0,5110.0,2.162162162162162,479.0,330.35
2023.0,128.0,vivo,6.56,lcd,22.1,4.0,0.81,186.0,1080.0,2400.0,5000.0,59.76744186046512,129.0,99.0
2025.0,256.0,nubia,6.85,amoled,4.3,12.0,0.86,228.0,2688.0,1216.0,6150.0,3.142857142857143,879.0,879.0
2023.0,256.0,motorola,6.67,oled,2.9,8.0,0.76,170.0,2400.0,1080.0,5000.0,23.953488372093023,1299.0,198.0
2023.0,256.0,motorola,6.5,lcd,2.2,8.0,0.8,174.0,1080.0,2400.0,5000.0,26.904761904761905,174.99,174.99
2023.0,64.0,ulefone,5.45,lcd,2.2,8.0,2.57,254.42,1080.0,2400.0,4860.0,22.857142857142858,113.99,113.99
2018.0,128.0,hyrich,5.0,lcd,1.2,1.0,2.57,254.42,1280.0,720.0,3000.0,88.92857142857143,199.99,55.99
2025.0,256.0,xiaomi,6.67,amoled,2.5,8.0,0.83,200.0,2560.0,1500.0,6000.0,5.405405405405405,318.0,301.63
2023.0,256.0,unihertz,3.0,lcd,2.2,8.0,1.87,116.0,480.0,800.0,2000.0,118.8372093023256,199.99,209.99
2022.0,128.0,google,6.3,oled,3.1,8.0,0.87,195.5,1080.0,2400.0,4355.0,33.33333333333333,199.99,219.99
2022.0,128.0,oukitel,6.52,lcd,2.9,8.0,1.59,610.0,1080.0,2400.0,10000.0,4.722222222222222,199.0,199.0
2025.0,128.0,oukitel,6.52,lcd,32.3,16.0,2.57,254.42,576.0,1280.0,4300.0,67.67441860465117,119.99,89.99
2018.0,128.0,oneplus,6.7,lcd,2.8,8.0,0.87,197.0,3168.0,1440.0,4500.0,1019.7674418604652,860.81,860.81
2023.0,128.0,ulefone,6.52,lcd,5.0,10.0,1.35,770.0,1920.0,1080.0,6300.0,27.38095238095238,169.99,149.99
2023.0,256.0,oneplus,6.7,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,2500.0,11.25,199.99,324.97
2021.0,128.0,samsung,6.4,amoled,2.5,6.0,0.79,177.0,2340.0,1080.0,4500.0,103.11111111111111,13.99,368.5
2023.0,1000.0,cubot,6.58,lcd,2.2,24.0,1.77,390.0,1920.0,1080.0,10600.0,85.5,199.99,229.99
2022.0,256.0,blackview,6.7,amoled,2.2,12.0,2.28,516.0,1080.0,1920.0,15080.0,14.35897435897436,199.99,349.99
2023.0,128.0,oukitel,6.56,lcd,17.9,12.0,0.92,199.0,720.0,1600.0,5150.0,442.1951219512196,119.99,109.99
2025.0,256.0,doogee,4.5,lcd,2.2,15.0,2.57,254.42,1080.0,2400.0,3000.0,15.365853658536588,209.99,169.99
2025.0,256.0,blackview,6.67,lcd,2.8,24.0,2.57,254.42,1080.0,2400.0,5000.0,24.318181818181817,209.99,170.99
2025.0,256.0,xiaomi,6.67,amoled,2.5,8.0,0.88,210.0,2712.0,1220.0,5110.0,2.25,479.0,336.33
2023.0,256.0,ulefone,6.58,lcd,2.2,16.0,2.57,254.42,1920.0,1080.0,9600.0,23.5,499.99,269.99
2025.0,128.0,oukitel,6.52,lcd,1.6,16.0,2.57,254.42,1280.0,720.0,4300.0,67.67441860465117,119.99,85.49
2023.0,512.0,xiaomi,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2705.31914893617,207.66,189.0
2021.0,128.0,ulefone,6.52,amoled,2.0,3.0,5.5,189.0,720.0,1600.0,4500.0,35.26315789473684,199.99,99.99
2025.0,256.0,oukitel,6.7,amoled,2.2,24.0,0.82,454.0,2412.0,1080.0,5150.0,3.9583333333333335,329.99,260.0
2025.0,256.0,oukitel,6.56,lcd,2.8,24.0,2.57,254.42,720.0,1600.0,5150.0,12.040816326530612,549.0,169.99
