ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly
2024.0,128.0,panasonic,2.4,lcd,1.2,1.0,2.3,110.0,320.0,240.0,500.0,112.6829268292683,69.9,53.43,-0.7689110227634585,1
2024.0,128.0,sveon,2.4,lcd,0.9,12.0,2.57,254.42,3840.0,2160.0,800.0,4.4,199.99,33.5,-0.8565943032668687,-1
2024.0,64.0,garsent,1.77,lcd,0.8,8.0,7.0,120.0,1080.0,2400.0,800.0,2.3076923076923075,27.71,27.71,-0.8820677701065448,1
2020.0,128.0,oukitel,6.3,oled,2.1,6.0,1.73,370.0,1080.0,2400.0,5000.0,52.22222222222222,199.99,199.99,-0.12411114365759825,1
2024.0,256.0,samsung,6.1,superamoled,2.9,4.0,2.57,254.42,1080.0,2340.0,3500.0,194.39024390243904,299.0,198.99,-0.1285107061514974,1
2024.0,256.0,huawei,6.15,lcd,2.2,6.0,0.74,660.0,1080.0,2400.0,3340.0,1278.4444444444443,199.99,199.0,-0.12846671052655845,1
2024.0,128.0,xiaomi,6.56,lcd,2.0,2.0,0.9,194.0,720.0,1600.0,3600.0,1437.8947368421054,99.99,79.99,-0.652058642925497,1
2024.0,128.0,xiaomi,6.53,lcd,2.0,2.0,0.9,194.0,1600.0,720.0,3600.0,748.0,119.99,85.89,-0.6261012242114918,1
2020.0,128.0,samsung,6.7,amoled,2.5,12.0,0.79,188.0,1440.0,3200.0,4500.0,3.5,369.99,369.99,0.6238144803052582,1
2024.0,1000.0,tcl,6.53,amoled,3.1,6.0,2.57,254.42,1080.0,2400.0,4500.0,355.45454545454544,499.99,270.96,0.18812580653442468,1
2024.0,128.0,xiaomi,6.67,amoled,2.8,8.0,0.93,218.0,1080.0,2400.0,1.0,107.61904761904762,199.99,599.0,1.6313582870331038,1
2024.0,128.0,samsung,6.5,amoled,2.8,6.0,0.84,193.0,2400.0,1080.0,4500.0,376.9047619047618,759.0,298.99,0.31144554323841817,1
2024.0,128.0,xiaomi,6.67,lcd,2.2,6.0,9.0,215.0,3840.0,2160.0,4820.0,1627.4999999999998,329.0,240.17,0.05266327734726973,-1
2020.0,128.0,doogee,6.55,lcd,2.9,4.0,0.89,190.0,1080.0,2280.0,4500.0,52.19512195121952,199.99,174.21,-0.23753186475031848,1
2024.0,128.0,doogee,6.22,led,2.0,8.0,1.55,310.0,720.0,1520.0,5000.0,64.5,269.99,269.99,0.18385823091534265,1
2024.0,512.0,ttfone,2.0,lcd,1.2,4.0,1.2,99.0,1080.0,2400.0,1400.0,138.70967741935485,46.99,46.99,-0.7972442052241691,1
2024.0,256.0,apple,6.1,oled,2.5,8.0,0.74,189.0,1080.0,2400.0,4.0,1714.8648648648648,499.99,343.0,0.50507028859492,1
2012.0,256.0,apple,5.4,oled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0,0.07391316419280271,-1
2024.0,256.0,apple,6.1,oled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,1714.8648648648648,499.99,329.99,0.44783198054929196,1
2024.0,256.0,apple,6.1,oled,2.4,8.0,2.82,190.0,1080.0,2400.0,4.0,3198.285714285714,499.99,319.0,0.3994807887413402,-1
2024.0,128.0,apple,5.4,amoled,3.1,4.0,2.83,229.0,2340.0,1080.0,4.0,1874.2857142857144,255.0,255.0,0.11790878913179426,1
2024.0,128.0,apple,5.4,oled,3.1,4.0,0.74,135.0,1080.0,2400.0,5000.0,1874.2857142857144,499.99,245.0,0.07391316419280271,1
