product_id ,precio_actual ,precio_anterior ,Tipo de pantalla           ,Tipo de procesador     ,Ano del modelo ,Memoria RAM ,Tecnologia de pantalla                          ,Sistema operativo            ,Capacidad de la memoria flash instalada ,Fabricante                              ,Coprocesador grafico ,Resolucion maxima               ,Numero de procesadores ,Velocidad del procesador ,Frecuencia de actualizacion ,Marca     ,Capacidad de almacenamiento digital ,Capacidad de la memoria ,Capacidad de la memoria RAM instalada ,Tecnologia GSM ,Dimensiones del producto            ,Relacion de aspecto ,Tamano de la pantalla
B0CYGF23T1 ,"57,.99 "     ,"59,99"         ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,Android 9.0                  ,1 GB                                    ,Reno4                                   ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,WRTogo    ,16 GB                               ,16 GB                   ,1 GB                                  ,2G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,5 Pulgadas
B0DFMN3X6C ,"179,.90 "    ,"179,90"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,67 Pulgadas"
B0D541RFGR ,"199,.00 "    ,"239,00"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,Super AMOLED                                    ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"7,75 x 0,82 x 16,37 cm; 197 g"     ,16:9                ,"6,67 Pulgadas"
B0CS297MLL ,"229,.00 "    ,"303,36"        ,LCD                        ,Snapdragon             ,          2024 ,6 GB        ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,          ,                                    ,                        ,                                      ,4G             ,"8,01 x 16,9 x 1,02 cm; 240 g"      ,16:9                ,"6,67 Pulgadas"
B0DNF58678 ,"114,.97 "    ,"139,00"        ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0DCC1GLZZ ,"219,.00 "    ,No disponible   ,                           ,                       ,               ,            ,                                                ,                             ,                                        ,                                        ,                     ,                                ,                       ,                         ,                            ,          ,                                    ,                        ,                                      ,               ,                                    ,                    ,
B0D1KJX9S3 ,"149,.99 "    ,"199,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,LCD                                             ,Android 13.0                 ,128 MB                                  ,Blackview                               ,                     ,                                ,                     8 ,2E+3 MHz                 ,90 Hz                       ,Blackview ,8 GB                                ,128 GB                  ,12 GB                                 ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"4,3 Pulgadas"
B0DQTBFSW9 ,"64,.99 "     ,"89,99"         ,LCD                        ,Snapdragon             ,          2025 ,8 GB        ,                                                ,Android 14                   ,2 GB                                    ,XGODY                                   ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,Xgody     ,16 GB                               ,16 GB                   ,                                      ,4G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"5,5 Pulgadas"
B0D796T434 ,"139,.99 "    ,"149,99"        ,LCD                        ,Snapdragon             ,          2024 ,8 GB        ,                                                ,Android 14                   ,64 GB                                   ,FOSSiBOT                                ,                     ,720x1600                        ,                     8 ,1E+3 MHz                 ,90 Hz                       ,FOSSiBOT  ,64 GB                               ,64 GB                   ,12 GB                                 ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,74 Pulgadas"
B09MJR298V ,"443,.90 "    ,"1299,00"       ,xdr                        ,Snapdragon             ,          2024 ,128         ,OLED                                            ,iOS 15                       ,128 Modificador desconocido             ,Apple                                   ,                     ,                                ,                     8 ,"1,6 GHz"                ,90 Hz                       ,Apple     ,128 GB                              ,128 GB                  ,                                      ,5G             ,"7,58 x 0,86 x 16,38 cm; 186 g"     ,16:9                ,"6,1 Pulgadas"
