_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0BQRVCR5S,3900.0,633.23,1199.0,,,,,,,8.0,1.5,1.09,0.1,200.0
B0DL2MFHX3,5000.0,159.99,175.0,,realme,android,6.72,lcd,2020.0,8.0,,,,
B0DJ33BZFJ,,410.0,463.0,,xiaomi,android con miui,,amoled,,12.0,,,,
B0DM27NK9C,5100.0,199.0,,,oppo,android,,lcd,2024.0,,,,,
B0D8W44V1D,5200.0,399.0,239.99,,honor,android 13.0,6.7,oled,2024.0,12.0,,,,
B0D7TZWD9G,4650.0,849.0,1099.0,,,,,,,,15.28,7.2,0.86,190.0
B0CN3GWSP4,4500.0,249.0,369.0,,,,,superamoled,,,,,,
B0CMM85B7J,2600.0,119.99,1199.0,,zokoe,android 10.0,4.0,lcd,2023.0,4.0,11.6,4.93,1.3,128.0
B0DJ114V4B,,170.0,177.0,,samsung,android,6.7,amoled,2024.0,4.0,16.44,7.79,0.79,200.0
B0D6GNS4KN,5150.0,159.99,,128.0,doogee,android 14,6.56,lcd,2025.0,4.0,17.27,8.0,1.1,240.0
B07VTP4ZQW,3600.0,38.49,1199.0,,,,,,,,14.62,11.54,11.13,143.0
B0D33KJY93,400.0,39.84,42.0,128.0,pthtechus,"ios, android",,lcd,,1.0,6.0,3.0,1.0,140.0
B0DPQPR6B4,5150.0,260.0,329.99,256.0,oukitel,android 14,6.7,amoled,2025.0,24.0,16.24,7.62,0.82,454.0
B0CQ8CN28H,5000.0,379.0,379.0,,,,,amoled,,12.0,16.17,7.63,0.85,190.0
B0DPHCW9W6,5000.0,97.0,104.99,128.0,realme,android,6.74,lcd,2024.0,4.0,16.7,7.67,0.78,187.0
B0D8Y5VQRR,5100.0,329.99,569.99,256.0,cubot,android 14,6.95,lcd,2024.0,24.0,,,,
B0DPXNDX28,5000.0,1459.0,1459.0,,,,,,,,,,,
B09YVLRX8D,800.0,18.98,21.9,,,,,led,,,11.2,4.5,1.4,74.0
B0CVQ86VDB,5000.0,368.99,472.31,,,,,,,,10.0,5.0,1.27,330.0
B082MFY8SW,600.0,19.95,54.98,,oakcastle,android 10.0,1.77,lcd,,32.0,10.5,4.7,1.2,70.0
B0CSG93BF7,5000.0,159.98,,256.0,xiaomi,android 13.0,6.67,amoled,2024.0,8.0,16.22,7.55,0.8,188.5
B0CV7R71NY,5000.0,187.0,1299.0,,,,,,,,18.0,9.0,2.0,200.0
B0D95DY5QR,3000.0,57.99,199.99,128.0,msmga,android 9.0,5.0,lcd,2024.0,16.0,,,,
B0CQ59K8F9,5000.0,155.0,499.99,,samsung,android 14,6.5,amoled,2023.0,4.0,16.0,7.6,1.0,163.0
B0BSLKHVH9,5000.0,147.49,229.0,,,,,,,8.0,50.0,50.0,28.0,170.0
B0CWS1SL9F,,89.3,124.57,,,,,,,,,,,
B0B5QJT9PK,67.0,184.99,239.09,256.0,xiaomi,android 12.0,6.55,amoled,,8.0,,,,
B0CW94KKMN,5000.0,99.0,129.0,,vivo,android 13.0,6.56,lcd,2023.0,4.0,16.37,7.54,0.81,186.0
B0DHZJW5Z4,5160.0,108.9,179.9,256.0,xiaomi,android,6.88,lcd,2024.0,8.0,,,,
B0CV4KL9HC,5000.0,97.0,,,,,,,,,17.5,9.0,5.7,200.0
B0D4M1SJY4,3000.0,56.99,59.99,,msmga,android 9.0,5.0,lcd,,1.0,,,,
B07YX526XT,3100.0,78.89,,,samsung,android,5.9,superamoled,2019.0,,,,,
B0CXJBCY77,4404.0,449.0,609.0,,,,,,,,15.2,7.27,0.89,187.0
B0CNQ89WJN,5000.0,899.0,999.0,,,,,,,,,,,
B0D47GS8PW,5110.0,239.99,329.0,,,,,amoled,,8.0,16.29,7.56,0.81,191.0
B0CD3LF5JW,6580.0,125.99,569.99,,blackview,android 14,6.1,lcd,2023.0,4.0,16.0,7.7,1.5,270.0
B0D4SX2HWQ,33.0,121.0,125.78,,,,,lcd,,6.0,18.2,9.0,3.7,370.0
B0DMST1TH8,5000.0,124.99,138.99,256.0,realme,android,6.67,lcd,2024.0,8.0,16.5,7.6,0.76,300.0
B0CXJ9XSVZ,4404.0,399.0,549.0,,,,,,,,15.2,7.27,0.89,187.0
B0DLCXF946,5160.0,131.25,148.9,128.0,xiaomi,android 14,6.88,lcd,2024.0,8.0,,,,
B0DJ71YMXR,5000.0,118.99,999.99,256.0,xiaomi,androide 14,6.88,amoled,2024.0,8.0,,,,
B0DH4D1R7R,,19.99,,,sparkledot,,,,,,,,,
B0CPT8SK6H,5000.0,159.0,249.0,,,,,amoled,,8.0,16.22,7.55,0.8,188.0
B0DL48WY7G,5000.0,109.29,131.96,,xiaomi,android,6.88,lcd,,6.0,,,,
B0CNKT2D1G,5000.0,155.0,197.27,,,,,superamoled,,,16.0,8.0,2.0,200.0
B0D97XZJS6,5000.0,249.0,249.0,,,,,,,8.0,,,,
B0DP52QWHF,10800.0,399.99,,512.0,doogee,android 14,6.6,lcd,2025.0,24.0,,,,
B0D8QFSDNC,10800.0,179.99,249.99,,doogee,android 14,6.58,,2024.0,,17.85,8.31,1.79,630.0
B0CPYK2K1J,5000.0,748.97,1099.0,,,,,amoled,,,18.4,9.8,6.1,500.0
