ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,z_score,anomaly,cluster,mahalanobis
2024.0,256.0,xiaomi,6.67,amoled,2.0,8.0,0.79,188.0,1220.0,2712.0,5000.0,59.77272727272727,286.09,224.35,-0.016937801306214882,1,-1,1.5958883609149117
2024.0,128.0,ulefone,6.75,amoled,2.0,8.0,0.91,217.0,1080.0,2400.0,6000.0,0.9523809523809524,329.99,135.99,-0.4056831432671442,1,-1,1.6268159343532382
2024.0,256.0,honor,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,4500.0,9.130434782608695,229.0,209.0,-0.0844710855875669,1,0,1.0521578519228778
2024.0,128.0,hotwav,6.52,oled,2.4,4.0,1.3,300.0,1080.0,2400.0,6280.0,18.04878048780488,499.99,119.99,-0.47607614316953073,1,-1,2.399785917008997
2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,73.80952380952381,199.99,199.9,-0.12450710428204918,1,0,1.0492641368680762
2024.0,128.0,samsung,6.65,superamoled,3.4,6.0,2.57,254.42,1080.0,2400.0,5000.0,10.238095238095235,379.0,289.0,0.26749391392436556,1,6,1.3476722557080014
2024.0,256.0,realme,6.7,amoled,2.6,8.0,4.0,200.0,1080.0,2400.0,5000.0,43.80952380952381,359.99,225.99,-0.009722518816220202,1,-1,1.3016602263567403
2024.0,128.0,samsung,6.7,amoled,2.8,8.0,0.78,304.0,1080.0,2400.0,4800.0,11.666666666666666,399.99,389.0,0.7074501633142811,1,-1,1.7150507006655167
2024.0,256.0,motorola,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,20.97560975609756,249.0,249.0,0.09151141416839932,1,0,0.9815686589914044
2024.0,256.0,motorola,6.67,oled,2.4,12.0,0.78,175.0,1080.0,2400.0,5000.0,35.348837209302324,199.99,329.0,0.44347641368033175,1,3,1.6231246246157571
2024.0,128.0,oppo,6.7,lcd,2.1,4.0,0.77,186.0,1080.0,2400.0,5100.0,66.22222222222223,139.0,139.0,-0.39244046016050776,1,2,1.5672997199394505
2024.0,256.0,oscal,6.56,lcd,2.2,8.0,0.87,193.0,1280.0,720.0,5000.0,5.9523809523809526,399.0,199.99,-0.12411114365759825,1,-1,2.2362386982057543
2024.0,128.0,google,6.1,amoled,3.2,8.0,0.89,187.0,1080.0,2400.0,4404.0,225.7142857142857,549.0,399.0,0.7514457882532727,1,-1,1.942031431637768
2024.0,128.0,oscal,6.52,lcd,1.6,4.0,0.93,192.0,1280.0,720.0,4700.0,47.27272727272727,89.99,89.99,-0.6080630179865055,1,-1,2.1758678428266007
2024.0,256.0,oppo,6.7,lcd,1.0,8.0,0.77,186.0,1280.0,720.0,5100.0,18.857142857142858,249.0,229.0,0.0035201642904162164,1,-1,2.1591130235855953
2024.0,128.0,ulefone,6.56,lcd,4.3,6.0,0.86,192.0,1280.0,1080.0,5000.0,10.930232558139537,399.0,79.99,-0.652058642925497,1,-1,2.112440534910693
2024.0,256.0,xiaomi,6.88,lcd,14.1,8.0,2.57,254.42,1080.0,2400.0,5160.0,60.238095238095234,169.9,149.99,-0.34408926835255604,1,0,1.1511311409188543
2024.0,256.0,xiaomi,6.67,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,221.33333333333331,234.92,208.98,-0.08455907683744492,1,0,0.9697965108159604
2024.0,128.0,doogee,5.58,lcd,1.8,8.0,2.57,254.42,1440.0,720.0,6300.0,55.8974358974359,149.99,118.99,-0.4804757056634299,1,-1,1.9410120564934619
2024.0,256.0,motorola,6.5,lcd,2.9,4.0,2.57,254.42,1080.0,2400.0,5000.0,193.02325581395348,199.0,199.0,-0.12846671052655845,1,0,1.2087442056764603
2024.0,256.0,vivo,6.67,amoled,3.4,8.0,0.78,188.0,1080.0,2340.0,5000.0,29.285714285714285,199.99,299.0,0.3114895388633571,1,3,1.4198046600600995
2024.0,256.0,xiaomi,6.67,oled,3.3,8.0,0.89,204.8,1080.0,2400.0,5000.0,173.33333333333334,449.0,282.0,0.23669697646707147,1,3,1.398604149812019
2024.0,128.0,cubot,6.56,lcd,4.3,4.0,2.57,254.42,1080.0,2400.0,5100.0,10.526315789473683,199.99,79.99,-0.652058642925497,1,6,1.3825830323132653
2024.0,256.0,realme,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,226.74418604651163,320.0,320.0,0.40388035123523935,1,0,0.9765021232010772
2024.0,256.0,oneplus,6.67,amoled,3.1,8.0,0.81,191.0,1080.0,2400.0,5110.0,27.906976744186046,329.0,236.78,0.03774876049295165,1,3,1.2862485772933718
2024.0,128.0,oppo,6.56,lcd,2.0,4.0,0.82,250.0,1080.0,2400.0,5000.0,66.22222222222223,199.99,95.0,-0.5860212098920706,1,6,1.4007711469816695
2024.0,128.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,239.9,239.9,0.05147539547391704,1,6,1.1994534030452546
2024.0,128.0,dpofirs,6.7,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,4000.0,1.1904761904761905,549.0,226.42,-0.00783070694384366,1,-1,2.0665839012291776
2024.0,128.0,umidigi,6.7,lcd,2.8,16.0,0.8,195.0,1080.0,2400.0,5000.0,101.05263157894736,146.99,179.99,-0.21210239353558136,1,-1,1.6768307693532638
2024.0,256.0,xiaomi,6.67,oled,2.4,8.0,0.89,204.8,1080.0,2400.0,5000.0,73.63636363636363,297.0,276.0,0.21029960150367652,1,3,1.1410066584189265
2024.0,256.0,cubot,6.95,lcd,3.1,24.0,2.57,254.42,1080.0,2460.0,5100.0,10.0,199.99,329.99,0.44783198054929196,1,-1,2.0965069941748897
2024.0,256.0,cubot,6.58,lcd,2.2,12.0,2.57,254.42,1080.0,2408.0,5200.0,0.4,219.95,219.95,-0.03629587627937119,1,0,1.0212704700153927
2024.0,256.0,vivo,6.67,amoled,2.4,8.0,0.78,191.0,1080.0,1920.0,5000.0,12.325581395348838,199.99,229.0,0.0035201642904162164,1,-1,1.1784512856683351
2024.0,128.0,doogee,6.56,lcd,1.8,4.0,2.57,254.42,1080.0,1920.0,5000.0,0.9756097560975612,149.99,109.99,-0.5200717681085223,1,-1,1.0567744712367313
2024.0,128.0,umidigi,6.75,lcd,2.0,12.0,0.79,189.0,1080.0,2400.0,5000.0,160.5263157894737,149.99,127.49,-0.4430794244652871,1,-1,1.4968946743731502
2024.0,128.0,oscal,6.75,lcd,2.0,8.0,0.87,195.0,1280.0,720.0,5180.0,18.636363636363637,239.99,139.99,-0.38808489329154755,1,-1,2.0607779288056984
2024.0,128.0,cubot,6.75,lcd,1.8,12.0,2.57,254.42,720.0,1600.0,5100.0,15.25,129.99,99.99,-0.564067393047514,1,-1,1.4612193541164573
2024.0,128.0,samsung,6.6,superamoled,3.4,6.0,2.57,254.42,1080.0,2340.0,5000.0,10.238095238095235,379.0,289.0,0.26749391392436556,1,6,1.296867591272087
2024.0,128.0,samsung,6.7,lcd,1.5,4.0,0.88,195.0,1080.0,2400.0,5000.0,104.77272727272728,127.99,127.99,-0.4408796432183375,1,2,1.5196407102176626
2024.0,256.0,doogee,6.56,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,289.99,229.98,0.007831735534437343,1,0,0.97331749616572
2024.0,256.0,samsung,6.67,amoled,3.4,8.0,2.57,254.42,1080.0,2340.0,5000.0,21.666666666666664,10.4,297.0,0.3026904138755588,1,-1,2.0396703673760923
2024.0,256.0,xiaomi,6.67,oled,2.9,8.0,2.57,254.42,1080.0,2400.0,5110.0,1.1904761904761905,149.99,185.98,-0.1857490141971255,1,0,1.1696211335734894
2024.0,128.0,google,6.1,amoled,2.5,8.0,0.89,187.0,1080.0,2400.0,4404.0,225.7142857142857,549.0,399.0,0.7514457882532727,1,-1,1.942543407163082
2024.0,256.0,xiaomi,6.71,lcd,2.0,4.0,0.88,192.0,1080.0,2400.0,5000.0,123.25581395348836,201.49,201.49,-0.11751179991674951,1,3,1.418960987330598
2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2340.0,5000.0,1.1904761904761905,18.01,249.99,0.09586698103735954,1,-1,1.828641736915461
2024.0,128.0,oppo,6.56,lcd,2.0,8.0,0.77,186.0,1080.0,2400.0,3600.0,5.9375,115.0,115.0,-0.4980299600140875,1,-1,1.5145547231697298
2024.0,256.0,xiaomi,6.67,lcd,2.8,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,156.0,156.0,-0.31764789776422214,1,0,1.1682156315208163
2024.0,64.0,samsung,6.7,amoled,2.4,4.0,2.57,254.42,1080.0,2160.0,5000.0,150.2325581395349,124.84,112.4,-0.5094688224982253,1,-1,1.4442416806317067
2024.0,256.0,xiaomi,6.67,amoled,2.4,12.0,2.57,254.42,1080.0,2400.0,5000.0,70.22727272727272,199.99,399.0,0.7514457882532727,1,-1,1.5865634504437136
2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,182.0,140.69,-0.3850051995458182,1,0,1.167155127681717
2024.0,128.0,samsung,6.67,lcd,2.4,6.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,206.75,206.75,-0.09437010119884,1,6,1.2246510537959614
