_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
B0CNSX68K8,2024.0,128.0,samsung,6.67,lcd,2.4,6.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,206.75,206.75
B0BZJM3742,2024.0,128.0,google,6.1,amoled,3.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,290.61,290.61
B0BYMP9KZP,2024.0,128.0,samsung,6.6,amoled,2.0,6.0,2.57,254.42,1080.0,2340.0,5000.0,1.1904761904761905,235.0,215.0
B0D4M17HS6,2024.0,128.0,msmga,5.0,lcd,1.2,1.0,2.57,254.42,1080.0,2400.0,3000.0,20.571428571428573,59.99,56.99
B0DJ33DQC2,2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,485.76,417.0
B0CZXTB5M6,2024.0,128.0,realme,6.4,amoled,2.2,6.0,2.57,254.42,1440.0,720.0,5000.0,1.1904761904761905,233.32,233.32
B0CBDV7J57,2024.0,128.0,ulefone,6.52,amoled,1.6,4.0,0.87,184.0,1280.0,720.0,4400.0,52.0,199.99,139.99
B0CDGH35BB,2024.0,256.0,xiaomi,6.67,lcd,2.9,8.0,0.82,198.5,1080.0,2400.0,5000.0,92.04545454545452,199.99,174.89
B0CR1C119B,2024.0,256.0,xiaomi,6.67,amoled,2.8,8.0,0.8,179.0,1080.0,2400.0,5000.0,36.66666666666666,241.43,169.95
B0BLYSJHG3,2024.0,256.0,oscal,6.67,amoled,1.8,18.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,229.99,229.99
B0CSMR9M9P,2024.0,256.0,honor,6.7,oled,2.4,8.0,2.57,254.42,1080.0,2400.0,4500.0,1.3333333333333333,199.99,179.0
B0D5RDYHSZ,2024.0,64.0,motorola,6.56,lcd,1.2,2.0,0.8,180.0,1080.0,2400.0,5000.0,59.06976744186047,75.9,75.9
B0DFPZGYV3,2024.0,64.0,oukitel,6.6,lcd,21.8,8.0,2.57,254.42,720.0,1600.0,4300.0,31.818181818181817,199.99,99.99
B0DGXZNN2F,2024.0,256.0,tcl,6.8,lcd,3.0,16.0,0.9,192.0,1920.0,1080.0,5010.0,10.5,219.99,199.99
B0CR16WJH9,2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,0.82,190.0,1080.0,2400.0,5000.0,168.0,499.99,303.43
B0CSFVHB5V,2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.6666666666666663,278.99,258.0
B0CVQBNH2D,2024.0,256.0,samsung,6.5,amoled,2.5,6.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,529.0,399.0
B0CQHTLPFC,2024.0,128.0,xiaomi,6.67,lcd,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,152.06,152.06
B0BCFY1QL5,2024.0,128.0,xiaomi,6.55,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,221.53,168.0
B0D2RQ8R19,2024.0,128.0,motorola,6.56,lcd,1.4,4.0,0.8,181.0,1280.0,720.0,5000.0,31.395348837209305,129.0,89.0
B0DCYV2B1R,2024.0,256.0,blackview,6.7,lcd,3.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,4.571428571428571,329.99,279.99
B0CQYMCG9R,2024.0,256.0,xiaomi,6.67,lcd,2.9,12.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,205.0,199.61
B0D8LH33XB,2024.0,256.0,oneplus,6.74,amoled,2.0,12.0,0.8,199.5,1080.0,2400.0,5500.0,53.86363636363636,499.0,449.0
B0CP187PNW,2024.0,256.0,xiaomi,6.74,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,140.0,134.66
B0DJ33BZFJ,2024.0,256.0,xiaomi,6.67,amoled,2.5,12.0,2.57,254.42,1080.0,2400.0,5000.0,10.75,462.0,408.0
B0CX272D4J,2024.0,256.0,realme,6.72,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,229.0,229.0
B0DLGVSDL8,2024.0,256.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1500.0,750.0,5110.0,58.83720930232558,299.9,249.9
B0CR13BPBT,2024.0,256.0,poco,6.67,amoled,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,105.33333333333331,199.99,296.76
B0CVQ86VDB,2024.0,256.0,samsung,6.67,amoled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,121.42857142857142,472.31,368.0
B0CZ3YSRV9,2024.0,128.0,el,6.52,lcd,1.6,4.0,0.92,180.0,1080.0,2400.0,4500.0,9.487179487179487,98.99,98.99
B0DHZ437M8,2024.0,256.0,vivo,6.67,amoled,3.4,8.0,0.79,190.0,1080.0,2400.0,5000.0,29.285714285714285,199.99,299.0
B0D8LJ2MZM,2024.0,256.0,oneplus,6.74,oled,3.0,16.0,0.8,199.5,1080.0,2400.0,5500.0,53.86363636363636,199.99,384.58
B0CPPFD4RL,2024.0,256.0,honor,6.67,amoled,2.4,16.0,0.8,185.0,1080.0,2400.0,5200.0,25.77777777777778,399.9,217.55
B0DBVDRNK5,2024.0,256.0,motorola,6.67,oled,3.0,8.0,0.76,170.0,1080.0,2400.0,5000.0,21.11111111111111,234.8,234.8
B0DFGKGGD5,2024.0,128.0,oppo,6.56,lcd,2.1,6.0,0.77,250.0,1080.0,2400.0,5100.0,5.476190476190476,135.0,135.0
B0DF8331S3,2024.0,256.0,oppo,6.67,lcd,2.4,8.0,0.77,200.0,1080.0,2400.0,5100.0,99.77272727272728,198.0,198.0
B0DKP8CT9W,2024.0,128.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,239.9,239.9
B0D8TFQZRD,2024.0,128.0,oscal,6.52,lcd,1.6,4.0,0.93,192.0,1280.0,720.0,4700.0,47.27272727272727,239.99,89.99
B0D8Q8P4TQ,2024.0,128.0,vivo,6.56,lcd,2.0,4.0,0.81,186.0,1080.0,2400.0,5000.0,50.888888888888886,149.0,149.0
B0CZXTM9GB,2024.0,256.0,samsung,6.67,superamoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,13.428571428571429,499.0,379.0
B0DHZZ67HX,2024.0,128.0,samsung,6.7,amoled,3.0,4.0,0.79,200.0,1080.0,1920.0,4200.0,23.33333333333333,178.49,168.99
B0CVX7S16Z,2024.0,256.0,honor,6.78,amoled,3.1,1.0,2.57,254.42,1080.0,2400.0,5000.0,6.944444444444445,499.99,217.0
B0DG6LN2BH,2024.0,256.0,xiaomi,6.88,lcd,2.8,8.0,2.57,254.42,1080.0,2340.0,5160.0,60.238095238095234,169.9,169.9
B0D47GS8PW,2024.0,256.0,oneplus,6.67,amoled,3.1,8.0,0.81,191.0,1080.0,2400.0,5110.0,27.906976744186046,329.0,239.0
B0BYMPCWHN,2024.0,128.0,samsung,6.4,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2.619047619047619,302.98,268.0
B0DFGK5Q59,2024.0,256.0,oppo,6.56,lcd,2.2,8.0,0.77,200.0,1080.0,2400.0,5100.0,1.9047619047619049,150.0,150.0
B0DKT7LG4F,2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,349.0,349.0
B0D4TPXNNG,2024.0,256.0,blackview,6.75,amoled,2.0,8.0,0.91,214.0,1280.0,720.0,6000.0,6.046511627906977,199.99,179.99
B0DH23VGF7,2024.0,128.0,joyzap,3.0,lcd,1.3,2.0,1.26,137.0,360.0,640.0,900.0,2.8125,199.99,49.99
B0CNKHZFPN,2024.0,256.0,xiaomi,6.67,amoled,3.2,8.0,2.57,254.42,1080.0,2400.0,5100.0,136.8181818181818,499.99,279.95
B0DLGR3WYC,2024.0,256.0,xiaomi,6.67,amoled,3.2,8.0,2.57,254.42,1500.0,750.0,5110.0,58.83720930232558,299.9,279.99
B0BNK71JYH,2024.0,128.0,blackview,6.56,amoled,2.0,8.0,0.87,193.0,1080.0,2400.0,4480.0,91.8421052631579,199.99,159.99
B0DQD4LZLH,2024.0,256.0,oppo,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2280.0,5000.0,1.1904761904761905,349.0,249.0
B0D929RCTB,2024.0,256.0,oppo,6.7,amoled,2.6,8.0,2.57,254.42,1080.0,2400.0,5000.0,5.348837209302326,329.0,319.0
B0CTHYTHFT,2024.0,256.0,xiaomi,6.67,amoled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,122.72727272727272,449.9,329.99
B0CQJSFRPR,2024.0,256.0,xiaomi,6.67,amoled,3.1,8.0,0.8,190.0,1080.0,2400.0,5000.0,95.68181818181816,245.0,245.0
B0CT8S7NC8,2024.0,128.0,oppo,6.56,lcd,2.0,4.0,0.82,250.0,1080.0,2400.0,3600.0,66.44444444444444,199.99,95.62
B0CY5136K3,2024.0,256.0,huawei,6.7,amoled,3.1,8.0,0.84,199.0,1080.0,2400.0,5000.0,28.181818181818183,279.0,259.0
B0DK3R64PY,2024.0,128.0,ulefone,6.56,lcd,4.3,6.0,0.87,250.0,1280.0,720.0,5000.0,22.75,89.99,79.99
B09775ZTJ5,2024.0,128.0,xiaomi,6.55,amoled,2.5,8.0,0.68,159.0,1080.0,2400.0,4250.0,12.195121951219512,499.99,380.0
B0CV7XZZNG,2024.0,256.0,samsung,6.67,lcd,2.9,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,1.0,199.0
B0CKLTZRX7,2024.0,128.0,motorola,6.5,lcd,2.4,8.0,0.8,175.0,1080.0,2400.0,5000.0,125.23809523809524,499.99,99.46
B0D8TJKYQW,2024.0,128.0,oscal,6.52,lcd,1.6,4.0,0.93,192.0,1280.0,720.0,4700.0,47.27272727272727,89.99,89.99
B0CV11PDWS,2024.0,256.0,samsung,6.5,superamoled,3.1,4.0,2.57,254.42,1080.0,2400.0,5000.0,35.0,199.99,255.44
B0D2RTDNLB,2024.0,128.0,motorola,6.56,amoled,2.5,4.0,0.8,181.0,1080.0,2400.0,5000.0,31.395348837209305,499.99,380.0
B0CVQ7541Q,2024.0,256.0,samsung,6.67,amoled,1.0,8.0,2.57,254.42,1080.0,2340.0,5000.0,10.434782608695652,473.34,390.0
B08QXJNJ3Q,2024.0,128.0,samsung,6.2,superamoled,2.8,8.0,0.79,247.0,1080.0,2400.0,4000.0,35.0,369.99,369.99
B0D8TCCP26,2024.0,256.0,oscal,6.75,lcd,1.0,16.0,0.87,195.0,1080.0,2400.0,5180.0,18.636363636363637,199.99,139.99
B0DFC9GZHN,2024.0,64.0,ulefone,6.52,lcd,2.2,6.0,1.35,300.0,1080.0,2400.0,4000.0,7.209302325581396,149.99,135.99
B0DDL1DMZ2,2024.0,256.0,oppo,6.67,amoled,2.4,8.0,0.77,200.0,1080.0,2400.0,5000.0,24.35897435897436,199.99,238.99
B0CWS285P6,2024.0,128.0,xiaomi,6.74,lcd,4.2,4.0,2.57,254.42,1080.0,2400.0,5000.0,111.02564102564102,87.0,78.9
B0C53R3TZX,2024.0,256.0,oppo,6.72,amoled,2.2,8.0,0.82,192.0,1080.0,2400.0,5000.0,99.04761904761904,399.0,269.0
B0D2H7LK22,2024.0,128.0,oukitel,6.8,lcd,1.6,18.0,0.94,209.0,720.0,1600.0,5150.0,317.7272727272727,239.99,129.99
B0D5DC933P,2024.0,256.0,oppo,6.67,amoled,2.0,12.0,0.75,178.0,1080.0,2412.0,5000.0,8.095238095238095,449.0,345.0
B0DK4NBZWB,2024.0,256.0,oppo,6.67,amoled,3.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,2.291666666666667,199.99,299.0
