_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,iqr_outlier
B0CN12BMRW,2024.0,256.0,samsung,6.5,superamoled,3.0,8.0,3.0,197.0,1080.0,2400.0,5000.0,302.27272727272725,149.99,205.87,True
B0CP184K7G,2024.0,128.0,xiaomi,6.74,lcd,2.0,4.0,0.8,192.0,1080.0,2400.0,5000.0,231.42857142857144,127.99,127.99,True
B0CXJ9XSVZ,2024.0,128.0,google,6.1,amoled,2.5,8.0,0.89,187.0,1080.0,2400.0,4404.0,225.7142857142857,549.0,399.0,True
B0D95SK41T,2024.0,256.0,nothing,6.7,amoled,3.0,12.0,0.85,190.0,1084.0,2412.0,5000.0,316.3636363636363,429.0,399.0,True
B0D8134JH8,2024.0,128.0,samsung,6.6,amoled,2.4,6.0,0.9,222.0,1080.0,2340.0,6000.0,399.75609756097566,230.51,209.5,True
B0BVZ65S6Y,2024.0,128.0,xiaomi,6.71,lcd,2.0,4.0,0.88,192.0,1080.0,2400.0,5000.0,882.8571428571428,199.99,82.0,True
B0D541RFGR,2024.0,128.0,cmf by nothing,6.67,superamoled,2.6,8.0,0.82,197.0,1080.0,2400.0,5000.0,213.77777777777777,239.0,216.48,True
B0CLLX5B1N,2024.0,128.0,xiaomi,6.67,amoled,2.0,6.0,2.57,254.42,1080.0,2400.0,5000.0,1007.6190476190476,499.99,182.11,True
B0CXJBCY77,2024.0,256.0,google,6.1,amoled,2.5,8.0,0.89,187.0,1080.0,2400.0,4404.0,225.9523809523809,609.0,449.0,True
B0CQ88L871,2024.0,256.0,nothing,6.7,amoled,2.8,12.0,0.85,190.0,1084.0,2412.0,5000.0,316.3636363636363,379.0,347.62,True
B0CQ8CN28H,2024.0,256.0,nothing,6.7,amoled,2.8,12.0,0.85,190.0,1084.0,2412.0,5000.0,316.3636363636363,379.0,379.0,True
B0CPT9XDS7,2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,0.8,188.5,1080.0,2400.0,5000.0,302.5581395348837,199.99,162.27,True
B0CSGBN5X8,2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,0.8,188.5,1080.0,2400.0,5000.0,379.30232558139534,11.99,169.99,True
B0CVQL3L2K,2024.0,256.0,samsung,6.67,amoled,2.5,8.0,0.82,210.0,1080.0,2340.0,5000.0,235.11627906976744,378.98,378.98,True
B0D53ZYFKG,2024.0,128.0,cmf by nothing,6.67,superamoled,2.5,8.0,0.82,197.0,1080.0,2400.0,5000.0,213.77777777777777,239.0,216.48,True
B0B1VD6323,2024.0,128.0,samsung,6.6,lcd,4.3,4.0,0.84,192.0,1080.0,2400.0,5000.0,1169.5454545454545,99.99,79.99,True
B09RZYJ9PG,2024.0,128.0,xiaomi,6.67,amoled,2.2,8.0,2.5,193.0,1080.0,2400.0,5000.0,1335.0,269.0,269.0,True
B09QH5NB1Z,2024.0,128.0,samsung,6.5,superamoled,2.5,6.0,0.81,190.0,1080.0,2400.0,5000.0,1091.190476190476,449.0,329.99,True
B0CCYPD7MS,2024.0,256.0,motorola,6.5,amoled,3.0,12.0,0.8,160.0,1080.0,2400.0,5000.0,602.8888888888889,299.0,224.78,True
B0CGVTTZ7B,2024.0,128.0,google,6.7,oled,3.2,12.0,0.88,211.0,1440.0,2560.0,5025.0,582.0930232558139,655.16,655.16,True
B0CGVNVD8R,2024.0,128.0,google,6.2,oled,2.5,12.0,0.89,187.0,1080.0,2400.0,4575.0,634.0,799.0,449.0,True
B0CW1TXB19,2024.0,256.0,toptro,6.67,dlp,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,374.6511627906977,247.14,237.14,True
B0CVQ7DDS3,2024.0,128.0,samsung,6.67,amoled,1.0,8.0,2.57,254.42,1080.0,2340.0,5000.0,125.11111111111111,549.0,339.0,True
B0D7TZWD9G,2024.0,128.0,google,6.3,amoled,3.0,12.0,0.86,190.0,1080.0,2160.0,4650.0,56.74418604651163,1099.0,849.0,True
B0DPXN3YHT,2024.0,256.0,samsung,6.7,amoled,3.1,12.0,2.57,254.42,1080.0,2400.0,5000.0,182.72727272727272,1159.0,1159.0,True
B0DPXMJNV7,2024.0,256.0,samsung,6.3,amoled,2.9,12.0,2.57,254.42,1440.0,3200.0,4000.0,1.2,969.0,969.0,True
B0BJFBHBW9,2024.0,128.0,dpofirs,6.7,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,4000.0,1.1904761904761905,549.0,226.42,True
B09B11HGMS,2024.0,256.0,samsung,6.7,amoled,2.7,8.0,0.69,183.0,1080.0,2400.0,5000.0,15.384615384615383,629.99,629.99,True
